"Periodo","Tienda","Turno","Efectivo","Tarjeta","Total"
"2025-10-18","Salto del Agua","Ambos","6448","1319.18","7767.17"
"2025-10-19","Salto del Agua","Ambos","6323","1559.03","7882.02"
"2025-10-20","Salto del Agua","Ambos","4055","1559.03","5614.02"
"2025-10-21","Salto del Agua","Ambos","9365","1343.16","10708.16"
"2025-10-22","Salto del Agua","Ambos","7090","1117.7","8207.7"
"2025-10-23","Salto del Agua","Ambos","5750","1818.06","7568.06"
"2025-10-24","Salto del Agua","Ambos","8755","1304.78","10059.78"
"2025-10-25","Salto del Agua","Ambos","7440","1261.61","8701.61"
"2025-10-26","Salto del Agua","Ambos","6930","465.31","7395.31"
"2025-10-27","Salto del Agua","Ambos","6523","666.78","7189.78"
"2025-10-28","Salto del Agua","Ambos","7640","1808.47","9448.47"
"2025-10-29","Salto del Agua","Ambos","9590","1827.66","11417.66"
"2025-10-30","Salto del Agua","Ambos","9310","2417.69","11727.69"
"2025-10-31","Salto del Agua","Ambos","9895","1573.42","11468.42"
"2025-11-01","Salto del Agua","Ambos","10783","484.5","11267.5"
"2025-11-02","Salto del Agua","Ambos","695","182.29","877.29"
"2025-11-03","Salto del Agua","Ambos","4658","1084.12","5742.12"
"2025-11-04","Salto del Agua","Ambos","7710","1890.02","9600.02"
"2025-11-05","Salto del Agua","Ambos","9240","1184.86","10424.86"
"2025-11-06","Salto del Agua","Ambos","7093","1367.15","8460.15"
"2025-11-07","Salto del Agua","Ambos","9145","2259.39","11404.39"
"2025-11-08","Salto del Agua","Ambos","6895","513.28","7408.28"
"2025-11-09","Salto del Agua","Ambos","3870","326.2","4196.2"
"2025-11-10","Salto del Agua","Ambos","6650","978.59","7628.59"
"2025-11-11","Salto del Agua","Ambos","8115","743.54","8858.53"
"2025-11-12","Salto del Agua","Ambos","7135","1175.27","8310.26"
"2025-11-13","Salto del Agua","Ambos","6380","1026.56","7406.56"
"2025-11-14","Salto del Agua","Ambos","7940","1822.86","9762.86"
"2025-11-15","Salto del Agua","Ambos","3265","633.2","3898.2"
"2025-11-16","Salto del Agua","Ambos","5935","805.9","6740.9"
"2025-11-17","Salto del Agua","Ambos","0","0","0"
"2025-11-18","Salto del Agua","Ambos","6970","585.23","7555.23"
"2025-11-19","Salto del Agua","Ambos","8290","1064.93","9354.93"
"2025-11-20","Salto del Agua","Ambos","565","47.97","612.97"
"2025-11-21","Salto del Agua","Ambos","9105","1640.57","10745.57"
"2025-11-22","Salto del Agua","Ambos","5475","417.34","5892.34"
"2025-11-23","Salto del Agua","Ambos","4170","474.9","4644.9"
